Admin_Unit_Code,Sub_Unit_Code,Site_Name,Plot_Name,Location_Type,Year,Date,Start_Time,End_Time,Observer,Visit,Interval_Length,ID_Method,Distance,Flyover_Observed,Sex,Common_Name,Scientific_Name,PIF_Watchlist_Status,Regional_Stewardship_Status,Temperature,Humidity,Sky,Wind,Disturbance,Initial_Three_Min_Cnt,TaxonCode,Previously_Obs,Month,Hour,Season,Observation_Duration
ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,,,Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,False,Undetermined,Eastern Towhee,Pipilo erythrophthalmus,False,True,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,,,Elizabeth Oswald,1,0-2.5 min,Calling,<= 50 Meters,False,,White-breasted Nuthatch,Sitta carolinensis,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,,,Elizabeth Oswald,1,2.5 - 5 min,Calling,50 - 100 Meters,False,,Red-bellied Woodpecker,Melanerpes carolinus,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,,,Elizabeth Oswald,1,2.5 - 5 min,Singing,<= 50 Meters,False,,Orchard Oriole,Icterus spurius,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,,,Elizabeth Oswald,1,2.5 - 5 min,Visualization,<= 50 Meters,False,,Northern Mockingbird,Mimus polyglottos,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,,,Elizabeth Oswald,1,5 - 7.5 min,Singing,<= 50 Meters,False,,Northern Cardinal,Cardinalis cardinalis,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,,,Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,False,,Northern Cardinal,Cardinalis cardinalis,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,,,Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,False,,Horned Lark,Eremophila alpestris,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,,,Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,False,,Mourning Dove,Zenaida macroura,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,,,Elizabeth Oswald,1,5 - 7.5 min,Singing,<= 50 Meters,False,Undetermined,Field Sparrow,Spizella pusilla,False,True,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,,,Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,False,,Carolina Wren,Thryothorus ludovicianus,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,,,Elizabeth Oswald,1,7.5 - 10 min,Visualization,<= 50 Meters,False,,Carolina Chickadee,Poecile carolinensis,False,True,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,,,Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,False,Undetermined,Eastern Wood-Pewee,Contopus virens,False,True,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,,,Elizabeth Oswald,1,2.5 - 5 min,Calling,50 - 100 Meters,False,,American Crow,Corvus brachyrhynchos,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,,,Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,False,Undetermined,Indigo Bunting,Passerina cyanea,False,True,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,,,Elizabeth Oswald,1,2.5 - 5 min,Singing,<= 50 Meters,False,,Eastern Tufted Titmouse,Baeolophus bicolor,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,,,Elizabeth Oswald,1,7.5 - 10 min,Singing,<= 50 Meters,False,Undetermined,Yellow Warbler,Setophaga petechia,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,,,5,,Summer,
